/home/admiral/anaconda3/envs/RLearning/lib/python3.9/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Using device: cpu
Episode    0 | Reward:    2.631 | RPS:  0.053 | Eps: 1.0000 | Steps: 50
Episode    1 | Reward:    2.439 | RPS:  0.049 | Eps: 1.0000 | Steps: 50
Episode    2 | Reward:    4.842 | RPS:  0.097 | Eps: 1.0000 | Steps: 50
Episode    3 | Reward:    3.104 | RPS:  0.062 | Eps: 1.0000 | Steps: 50
Episode    4 | Reward:    5.223 | RPS:  0.104 | Eps: 1.0000 | Steps: 50
Episode    5 | Reward:    3.808 | RPS:  0.076 | Eps: 1.0000 | Steps: 50
Episode    6 | Reward:    4.505 | RPS:  0.090 | Eps: 1.0000 | Steps: 50
Episode    7 | Reward:    6.826 | RPS:  0.137 | Eps: 1.0000 | Steps: 50
Episode    8 | Reward:    6.799 | RPS:  0.136 | Eps: 1.0000 | Steps: 50
Episode    9 | Reward:    7.093 | RPS:  0.142 | Eps: 1.0000 | Steps: 50
Episode   10 | Reward:    7.765 | RPS:  0.155 | Eps: 1.0000 | Steps: 50
Episode   11 | Reward:   16.033 | RPS:  0.321 | Eps: 1.0000 | Steps: 50
Episode   12 | Reward:    2.594 | RPS:  0.052 | Eps: 1.0000 | Steps: 50
Episode   13 | Reward:    4.142 | RPS:  0.083 | Eps: 1.0000 | Steps: 50
Episode   14 | Reward:    4.831 | RPS:  0.097 | Eps: 1.0000 | Steps: 50
Episode   15 | Reward:    3.560 | RPS:  0.071 | Eps: 1.0000 | Steps: 50
Episode   16 | Reward:    5.304 | RPS:  0.106 | Eps: 1.0000 | Steps: 50
Episode   17 | Reward:    5.947 | RPS:  0.119 | Eps: 1.0000 | Steps: 50
Episode   18 | Reward:    3.104 | RPS:  0.062 | Eps: 1.0000 | Steps: 50
Episode   19 | Reward:    4.700 | RPS:  0.094 | Eps: 1.0000 | Steps: 50
Episode   20 | Reward:    7.426 | RPS:  0.149 | Eps: 1.0000 | Steps: 50
Episode   21 | Reward:    6.309 | RPS:  0.126 | Eps: 1.0000 | Steps: 50
Episode   22 | Reward:    3.834 | RPS:  0.077 | Eps: 1.0000 | Steps: 50
Episode   23 | Reward:    3.079 | RPS:  0.062 | Eps: 1.0000 | Steps: 50
Episode   24 | Reward:    3.131 | RPS:  0.063 | Eps: 1.0000 | Steps: 50
Episode   25 | Reward:    4.199 | RPS:  0.084 | Eps: 1.0000 | Steps: 50
Episode   26 | Reward:    2.943 | RPS:  0.059 | Eps: 1.0000 | Steps: 50
Episode   27 | Reward:    3.820 | RPS:  0.076 | Eps: 1.0000 | Steps: 50
Episode   28 | Reward:    4.903 | RPS:  0.098 | Eps: 1.0000 | Steps: 50
Episode   29 | Reward:    4.798 | RPS:  0.096 | Eps: 1.0000 | Steps: 50
Episode   30 | Reward:    3.688 | RPS:  0.074 | Eps: 1.0000 | Steps: 50
Episode   31 | Reward:   11.869 | RPS:  0.237 | Eps: 1.0000 | Steps: 50
Episode   32 | Reward:    2.583 | RPS:  0.052 | Eps: 1.0000 | Steps: 50
Episode   33 | Reward:    2.945 | RPS:  0.059 | Eps: 1.0000 | Steps: 50
Episode   34 | Reward:    5.580 | RPS:  0.112 | Eps: 1.0000 | Steps: 50
Episode   35 | Reward:    5.856 | RPS:  0.117 | Eps: 1.0000 | Steps: 50
Episode   36 | Reward:    5.065 | RPS:  0.101 | Eps: 1.0000 | Steps: 50
Episode   37 | Reward:    6.142 | RPS:  0.123 | Eps: 1.0000 | Steps: 50
Episode   38 | Reward:    7.986 | RPS:  0.160 | Eps: 1.0000 | Steps: 50
Episode   39 | Reward:   20.914 | RPS:  0.418 | Eps: 1.0000 | Steps: 50
Episode   40 | Reward:    5.087 | RPS:  0.102 | Eps: 0.9980 | Steps: 50
Episode   41 | Reward:   10.600 | RPS:  0.212 | Eps: 0.9950 | Steps: 50
Episode   42 | Reward:    5.772 | RPS:  0.115 | Eps: 0.9930 | Steps: 50
Episode   43 | Reward:    2.081 | RPS:  0.042 | Eps: 0.9900 | Steps: 50
Episode   44 | Reward:    2.149 | RPS:  0.043 | Eps: 0.9881 | Steps: 50
Episode   45 | Reward:    5.381 | RPS:  0.108 | Eps: 0.9851 | Steps: 50
Episode   46 | Reward:    5.099 | RPS:  0.102 | Eps: 0.9831 | Steps: 50
Episode   47 | Reward:    5.286 | RPS:  0.106 | Eps: 0.9802 | Steps: 50
Episode   48 | Reward:    5.049 | RPS:  0.101 | Eps: 0.9782 | Steps: 50
Episode   49 | Reward:    5.540 | RPS:  0.111 | Eps: 0.9753 | Steps: 50
Episode   50 | Reward:    5.838 | RPS:  0.117 | Eps: 0.9733 | Steps: 50
Episode   51 | Reward:    2.726 | RPS:  0.055 | Eps: 0.9704 | Steps: 50
Episode   52 | Reward:    5.648 | RPS:  0.113 | Eps: 0.9685 | Steps: 50
Episode   53 | Reward:    3.906 | RPS:  0.078 | Eps: 0.9656 | Steps: 50
Episode   54 | Reward:    5.440 | RPS:  0.109 | Eps: 0.9637 | Steps: 50
Episode   55 | Reward:    4.363 | RPS:  0.087 | Eps: 0.9608 | Steps: 50
Episode   56 | Reward:    2.051 | RPS:  0.041 | Eps: 0.9588 | Steps: 50
Episode   57 | Reward:    5.273 | RPS:  0.105 | Eps: 0.9560 | Steps: 50
Episode   58 | Reward:   14.891 | RPS:  0.298 | Eps: 0.9541 | Steps: 50
Episode   59 | Reward:    2.557 | RPS:  0.051 | Eps: 0.9512 | Steps: 50
Episode   60 | Reward:    5.625 | RPS:  0.112 | Eps: 0.9493 | Steps: 50
Episode   61 | Reward:    3.307 | RPS:  0.066 | Eps: 0.9465 | Steps: 50
Episode   62 | Reward:    6.920 | RPS:  0.138 | Eps: 0.9446 | Steps: 50
Episode   63 | Reward:    2.596 | RPS:  0.052 | Eps: 0.9417 | Steps: 50
Episode   64 | Reward:    4.201 | RPS:  0.084 | Eps: 0.9399 | Steps: 50
Episode   65 | Reward:    5.663 | RPS:  0.113 | Eps: 0.9370 | Steps: 50
Episode   66 | Reward:    7.205 | RPS:  0.144 | Eps: 0.9352 | Steps: 50
Episode   67 | Reward:    2.222 | RPS:  0.044 | Eps: 0.9324 | Steps: 50
Episode   68 | Reward:    3.359 | RPS:  0.067 | Eps: 0.9305 | Steps: 50
Episode   69 | Reward:    3.114 | RPS:  0.062 | Eps: 0.9277 | Steps: 50
Episode   70 | Reward:    3.452 | RPS:  0.069 | Eps: 0.9259 | Steps: 50
Episode   71 | Reward:    2.074 | RPS:  0.041 | Eps: 0.9231 | Steps: 50
Episode   72 | Reward:    4.858 | RPS:  0.097 | Eps: 0.9212 | Steps: 50
Episode   73 | Reward:    5.074 | RPS:  0.101 | Eps: 0.9185 | Steps: 50
Episode   74 | Reward:    3.956 | RPS:  0.079 | Eps: 0.9166 | Steps: 50
Episode   75 | Reward:    3.002 | RPS:  0.060 | Eps: 0.9139 | Steps: 50
Episode   76 | Reward:    2.601 | RPS:  0.052 | Eps: 0.9121 | Steps: 50
Episode   77 | Reward:    5.946 | RPS:  0.119 | Eps: 0.9093 | Steps: 50
Episode   78 | Reward:    4.030 | RPS:  0.081 | Eps: 0.9075 | Steps: 50
Episode   79 | Reward:   28.251 | RPS:  0.565 | Eps: 0.9048 | Steps: 50
Episode   80 | Reward:    5.097 | RPS:  0.102 | Eps: 0.9030 | Steps: 50
Episode   81 | Reward:    9.263 | RPS:  0.185 | Eps: 0.9003 | Steps: 50
Episode   82 | Reward:    3.858 | RPS:  0.077 | Eps: 0.8985 | Steps: 50
Episode   83 | Reward:    2.855 | RPS:  0.057 | Eps: 0.8958 | Steps: 50
Episode   84 | Reward:    2.138 | RPS:  0.043 | Eps: 0.8940 | Steps: 50
Episode   85 | Reward:    5.313 | RPS:  0.106 | Eps: 0.8913 | Steps: 50
Episode   86 | Reward:    3.969 | RPS:  0.079 | Eps: 0.8895 | Steps: 50
Episode   87 | Reward:    2.533 | RPS:  0.051 | Eps: 0.8869 | Steps: 50
Episode   88 | Reward:   13.011 | RPS:  0.260 | Eps: 0.8851 | Steps: 50
Episode   89 | Reward:    3.937 | RPS:  0.079 | Eps: 0.8824 | Steps: 50
Episode   90 | Reward:    2.841 | RPS:  0.057 | Eps: 0.8807 | Steps: 50
Episode   91 | Reward:    3.617 | RPS:  0.072 | Eps: 0.8780 | Steps: 50
Episode   92 | Reward:    4.375 | RPS:  0.087 | Eps: 0.8763 | Steps: 50
Episode   93 | Reward:    7.767 | RPS:  0.155 | Eps: 0.8737 | Steps: 50
Episode   94 | Reward:    3.804 | RPS:  0.076 | Eps: 0.8719 | Steps: 50
Episode   95 | Reward:    2.252 | RPS:  0.045 | Eps: 0.8693 | Steps: 50
Episode   96 | Reward:    7.928 | RPS:  0.159 | Eps: 0.8676 | Steps: 50
Episode   97 | Reward:    2.892 | RPS:  0.058 | Eps: 0.8650 | Steps: 50
Episode   98 | Reward:    4.105 | RPS:  0.082 | Eps: 0.8632 | Steps: 50
Episode   99 | Reward:   11.610 | RPS:  0.232 | Eps: 0.8606 | Steps: 50
Episodes    1- 100 | Success rate: 0.00%
Episode  100 | Reward:    8.289 | RPS:  0.166 | Eps: 0.8589 | Steps: 50
Episode  101 | Reward:    3.231 | RPS:  0.065 | Eps: 0.8563 | Steps: 50
Episode  102 | Reward:    3.195 | RPS:  0.064 | Eps: 0.8546 | Steps: 50
Episode  103 | Reward:    2.722 | RPS:  0.054 | Eps: 0.8521 | Steps: 50
Episode  104 | Reward:    2.566 | RPS:  0.051 | Eps: 0.8504 | Steps: 50
Episode  105 | Reward:    3.556 | RPS:  0.071 | Eps: 0.8478 | Steps: 50
Episode  106 | Reward:    9.930 | RPS:  0.199 | Eps: 0.8461 | Steps: 50
Episode  107 | Reward:    3.385 | RPS:  0.068 | Eps: 0.8436 | Steps: 50
Episode  108 | Reward:    2.859 | RPS:  0.057 | Eps: 0.8419 | Steps: 50
Episode  109 | Reward:    6.738 | RPS:  0.135 | Eps: 0.8394 | Steps: 50
Episode  110 | Reward:    5.960 | RPS:  0.119 | Eps: 0.8377 | Steps: 50
Episode  111 | Reward:    4.956 | RPS:  0.099 | Eps: 0.8352 | Steps: 50
Episode  112 | Reward:    2.906 | RPS:  0.058 | Eps: 0.8335 | Steps: 50
Episode  113 | Reward:    7.662 | RPS:  0.153 | Eps: 0.8310 | Steps: 50
Episode  114 | Reward:    3.584 | RPS:  0.072 | Eps: 0.8294 | Steps: 50
